單字,翻譯
innocent,(adj.)無罪的、清白的
innovation,(n.)革新、創新、新事物
innovative,(adj.)創新的
innumerable,(adj.)無數的
input,(v.)將(資料等)輸入電腦
input,(n.)輸入
inquire,(v.)訊問、查問、調查
inquiry,(n.)詢問、打聽、質詢
insect,(n.)昆蟲
insert,(n.)插入物、夾在報刊中的散頁廣告
insert,(v.)插入、嵌入
inside,(adv.)在裡面、往裡面
inside,(adj.)裡面的、內側的、內幕的
inside,(n.)內部、裡面、內幕
inside,(prep.)在…裡面
insight,(n.)洞察力、洞悉
insist,(v.)堅持
insistence,(n.)堅持
inspect,(v.)檢查、審查
inspection,(n.)檢查、檢閱、視察
inspector,(n.)檢查員、視察員、督察員
inspiration,(n.)靈感
inspire,(v.)鼓舞
install,(v.)安裝、設置
installation,(n.)設施、安裝
installment,(n.)分期付款、安置
instance,(v.)舉...為例、引證
instance,(n.)例子
instant,(adj.)即時的
instant,(n.)瞬間
instead,(adv.)反而、卻
instinct,(n.)本能、天性、直覺
institute,(v.)創立、設立、開始
institute,(n.)(專科性的)學校、大學、研究所
institution,(n.)機構
instruct,(v.)指示
instruction,(n.)教學、講授
instructor,(n.)教練、指導者
instrument,(n.)儀器
insult,(n.)侮辱、羞辱
insult,(v.)侮辱、羞辱
insurance,(n.)保險、保險契約
insure,(v.)投保、確保
intact,(adj.)完整無缺的、原封不動的
integrate,(v.)使結合、求積分
integration,(n.)整合、積分
integrity,(n.)正直、廉正、健全
intellect,(n.)智力、理解力、有才智的人
intellectual,(n.)知識分子
intellectual,(adj.)智力的
intelligence,(n.)智能、智慧、理解力
intelligent,(adj.)有才智的
intend,(v.)想要、打算
intense,(adj.)強烈的、劇烈的
intensify,(v.)加強、增強
intensity,(n.)強度、極度
intensive,(adj.)加強的、密集的
intent,(adj.)專注的、熱切的、堅決要做的
intent,(n.)意圖、目的
intention,(n.)意圖
interact,(v.)互相作用
interaction,(n.)互動
interest,(n.)興趣
interest,(v.)使發生興趣
interfere,(v.)介入、干涉、干預
interference,(n.)干涉、干預、擾亂
interior,(adj.)內的、內部的
interior,(n.)內部、內地
intermediate,(n.)中間事物、調解人
intermediate,(v.)作中間人、干預
intermediate,(adj.)中等程度的、中級的
internal,(adj.)內部的
international,(adj.)國際的
interpret,(v.)解釋
interpretation,(n.)解釋、闡明
interpreter,(n.)通譯員
interrupt,(v.)打斷(談話和工作等)
interruption,(n.)中止、干擾
intersection,(n.)交叉點、十字路口
interval,(n.)間隔、距離
intervene,(v.)介入、干預、調停
intervention,(n.)介入、干預、調停
interview,(n.)面談、採訪
interview,(v.)面談、採訪
intimacy,(n.)熟悉、親密、親近
intimate,(adj.)親密的、熟悉的
intimate,(n.)至交、密友
intimidate,(v.)威嚇、脅迫
into,(prep.)進入
intonation,(n.)語調、抑揚之聲
introduce,(v.)介紹
introduction,(n.)介紹、正式引見
intrude,(v.)侵入、闖入
intruder,(n.)侵入者、闖入者
intuition,(n.)直覺
invade,(v.)侵入、侵略
invaluable,(adj.)非常貴重的、無價的
invasion,(n.)入侵、侵略
invent,(v.)發明
invention,(n.)發明、創造
inventor,(n.)發明家
inventory,(v.)把...登入目錄、盤存
inventory,(n.)存貨清單
invest,(v.)投(資)
investigate,(v.)調查、研究
investigation,(n.)調查
investigator,(n.)調查者、研究者
investment,(n.)投資、投資額
invitation,(n.)邀請
invite,(v.)邀請
involve,(v.)使捲入、連累、牽涉
involvement,(n.)介入
inward,(adv.)向內、向中心
inward,(adj.)裡面的、內部的、內心的、向內的
inwards,(adv.)向內
iron,(adj.)鐵的、剛強的、殘酷的
iron,(n.)鐵、熨斗
iron,(v.)熨燙
ironic,(adj.)具有諷刺意味的、挖苦的
irony,(n.)反語、諷刺、出乎意料的結果
irritable,(adj.)易怒的、急躁的
irritate,(v.)使惱怒、使煩躁
irritation,(n.)激怒、惱怒
is,(v.)是、在、 be 動詞第三人稱、單數、現在式
island,(n.)島嶼
isle,(n.)小島
isolate,(v.)使孤立
isolation,(n.)隔離
issue,(v.)發行、發佈
issue,(n.)問題、爭論、發行(物)
itch,(v.)發癢
itch,(n.)癢
item,(n.)項目、品目
ivory,(n.)象牙
ivory,(adj.)乳白色的
ivy,(n.)常春藤
jack,(v.)用千斤頂托起
jack,"(n.)千斤頂、(紙牌中的)""J""牌、杰克、水手"
jacket,(n.)夾克、外套
jade,(n.)玉、玉製品、綠玉色
jail,(v.)監禁、拘留
jail,(n.)監獄、拘留所
jam,(v.)擠、夾傷
jam,(n.)果醬、擁塞
janitor,(n.)清潔工、管理員、看門人
jar,(n.)罐、罈
jasmine,(n.)茉莉、淡黃色
jaw,(n.)頜、顎
jaw,(v.)對...嘮叨、責罵
jaywalk,(v.)不守交通規則橫穿馬路
jazz,(n.)爵士樂
jazz,(v.)使活潑、奏爵士樂、遊蕩
jealous,(adj.)嫉妒的
jealousy,(n.)妒忌、猜忌
jeans,(n.)牛仔褲
jeep,(n.)吉普車
jeer,(n.)嘲笑、奚落人的話
jeer,(v.)嘲笑、嘲弄
jelly,(n.)果凍、果醬
jet,(n.)噴射、噴出物、噴射機
jet,(v.)噴出、射出
jewel,(n.)寶石
jewelry,(n.)(總稱)珠寶、首飾
jingle,(n.)(鈴、硬幣等金屬的)叮噹聲
jingle,(v.)發出叮噹聲
job,(n.)職業、工作
jog,(n.)輕推、輕撞、慢跑、緩行、暗示
jog,(v.)慢跑
join,(v.)加入
join,(n.)接合點、接連處
joint,(n.)接頭、接縫、關節
joint,(v.)連接、接合
joint,(adj.)接頭、連接
joke,(v.)開玩笑
joke,(n.)笑話
jolly,(adv.)非常、很
jolly,(adj.)快活的、高興的
jolly,(n.)快活 (常用 jollies)
jolly,(v.)用好話勸(某人)做...、開玩笑
journal,(n.)日報、雜誌、期刊、日誌
journalism,(n.)新聞業、新聞學
journalist,(n.)新聞工作者
journey,(n.)旅行
journey,(v.)旅行
joy,(n.)歡喜、樂趣
joyful,(adj.)高興的、充滿喜悅的
joyous,(adj.)快樂的、高興的
judge,(n.)法官
judge,(v.)判斷、審判
judgement,(n.)審判、 裁判、評價
judgment,(n.)審判、裁判、判斷力
jug,(v.)(用罐)煮、燉、監禁
jug,(n.)水罐、甕、壺、監牢
juice,(n.)果汁
juicy,(adj.)多汁的
jump,(v.)跳躍
jump,(n.)跳躍、暴漲
jungle,(n.)(熱帶)叢林、密林
junior,(n.)較年少者、三年級生
junior,(adj.)年紀較輕的、資淺的三年級(生)的
junk,(n.)廢棄的舊物
junk,(v.)把...當廢物丟棄、拋棄
jury,(n.)陪審團
just,(adj.)正直的、公平的、應得的、正確的
just,(adv.)正好、剛才
justice,(n.)正義、公平
justify,(v.)證明...是正當的、辯解
juvenile,(n.)青少年、幼體、兒童讀物
juvenile,(adj.)少年的、孩子氣的、幼年的
kangaroo,(n.)袋鼠
keen,(adj.)熱心的、敏銳的、渴望的
keep,(v.)保留、保持
keep,(n.)生活費、生計
keeper,(n.)保管人、守衛
kernel,(n.)(果核或果殼內的)仁、核心、要點
ketchup,(n.)番茄醬
kettle,(n.)水壺
key,(n.)鑰匙
key,(adj.)重要的、基本的、關鍵的
key,(v.)鎖上、插上、為...調音、用鍵盤輸入
keyboard,(n.)鍵盤
kick,(v.)踢
kick,(n.)踢、反衝、後座力、刺激、快感
kid,(n.)小孩
kid,(v.)戲弄
kidnap,(v.)綁架、劫持
kidney,(n.)腎臟
kill,(v.)殺
kill,(n.)獵獲物、屠殺
kilogram,(n.)公斤
kilometer,(n.)公里
kin,(n.)家族、同類
kin,(adj.)有親屬關係的、同類的、類似的
kind,(n.)種類
kind,(adj.)仁慈的
kindergarten,(n.)幼稚園
kindle,(v.)點燃、煽動、照亮
king,(n.)國王
kingdom,(n.)王國
kiss,(v.)親吻
kiss,(n.)吻
kit,(n.)成套工具、配套元件
kitchen,(n.)廚房
kite,(n.)風箏
kitten,(n.)小貓
kitty,(n.)小貓
km,(n.)kilometer
knee,(v.)用膝蓋碰(撞)
knee,(n.)膝蓋
kneel,(v.)跪(下)
knife,(n.)刀子
knife,(v.)(用刀)切、戮、刺
knight,(v.)封...為爵士、授...以爵士位
knight,(n.)騎士、武士、護衛者
knit,(v.)編織
knit,(n.)編織衣物
knob,(n.)球形突出物
knock,(v.)敲
knock,(n.)敲、擊、打、指摘、挑剔
knot,(v.)把...打結、捆紮
knot,(n.)花結、蝴蝶結
know,(v.)知道
knowledge,(n.)學問、知識
knowledgeable,(adj.)博學的、有見識的
knuckle,(v.)用指關節敲打
knuckle,(n.)關節、肘、蹄、(鉸鏈的)關節
koala,(n.)澳洲產無尾熊
lab,(n.)實驗室、研究室
label,(v.)貼標籤於
label,(n.)貼紙、標籤、商標
labor,(v.)勞動、努力
labor,(n.)勞工、分娩、陣痛
laboratory,(n.)實驗室、研究室
lace,(v.)用花邊等裝飾
lace,(n.)鞋帶、帶子、花邊
lack,(v.)缺乏
lack,(n.)缺乏
lad,(n.)男孩、小伙子
ladder,(n.)梯子
lady,(n.)淑女
ladybird,(n.)瓢蟲
ladybug,(n.)瓢蟲
lag,(n.)滯後、衰退
lag,(v.)落後、延遲
lake,(n.)湖
lamb,(n.)小羊
lamb,(v.)產羔羊
lame,(v.)使跛腳、使...變得無力
lame,(adj.)跛腳的、站不住腳的
lament,(n.)悲痛之情、哀悼、悼詞
lament,(v.)哀悼、悲痛、痛哭
lamp,(n.)燈
land,(n.)陸地
land,(v.)登陸
landlady,(n.)女房東
landlord,(n.)房東
landmark,(n.)地標、陸標、里程碑
landscape,(v.)在(一片土地)上造園
landscape,(n.)風景、景色
landslide,(n.)山崩、(選舉中的)壓倒性大勝利
lane,(n.)巷、弄、車道
language,(n.)語言
lantern,(n.)燈籠
lap,(n.)膝部、(衣、裙等的)下襬
large,(adj.)大的
largely,(adv.)大部分、主要地、大量地
laser,(n.)雷射
lash,(n.)鞭打、(風浪等的)猛烈打擊、斥責
last,(adj.)最後的
last,(v.)持續
last,(n.)最後的人(或東西)、最後、上回
last,(adv.)最後地
late,(adj.)晚的、遲的
late,(adv.)遲到、來不及、晚
lately,(adv.)近來、最近、不久前
latest,(adj.)最新的、最近的、最遲的
latitude,(n.)緯度、
latter,(adj.)後者
laugh,(v.)笑
laugh,(n.)笑、笑聲
laughter,(n.)笑、笑聲
launch,(v.)發射、開始
launch,(n.)(船的)下水、發射
laundry,(n.)洗衣店、送洗的衣服
lava,(n.)熔岩、火山岩
law,(n.)法律
lawful,(adj.)合法的
lawmaker,(n.)立法者
lawn,(n.)草坪、草地
lawyer,(n.)律師
lay,(v.)置放、產卵
layer,(n.)層、階層、地層
layer,(v.)把...堆積成層
layman,(n.)(未受神職的)一般信徒、外行人
layout,(n.)設計、佈局、版面設計
lazy,(adj.)懶惰的
lead,(n.)指導、領先地位、線索、鉛筆心
lead,(v.)引導
leader,(n.)領袖
leadership,(n.)領導才能
leaf,(v.)匆匆翻閱、 生葉片
leaf,(n.)樹葉
league,(n.)同盟、聯盟
league,(v.)使結盟、使聯合
leak,(n.)(水、瓦斯等的)漏出、漏電
leak,(v.)洩漏(祕密等)
lean,(adj.)精瘦的、貧乏的
lean,(v.)倚、靠
leap,(v.)跳、跳躍
leap,(n.)跳、跳躍
learn,(v.)學習
learned,(adj.)有學問的、博學的、精通的
learning,(n.)學習、學問、學識
least,(adv.)最小、最少、最不
least,(adj.)最小的、最少的、最不重要的
leather,(n.)皮革
leave,(v.)離開、丟下
leave,(n.)准假、休假
lecture,(v.)講課、訓斥
lecture,(n.)授課、冗長的訓話
lecturer,(n.)講演者
left,(n.)左、左邊、激進分子們
left,(adv.)在左邊、向左
left,(adj.)左邊的
leg,(n.)腿
legal,(adj.)合法的
legend,(n.)傳說、傳奇故事
legendary,(adj.)傳說的、傳奇的
legislation,(n.)立法、法規
legislative,(adj.)立法的、有立法權的
legislator,(n.)立法委員、國會議員
legislature,(n.)立法機關、(美國的)州議會
legitimate,(v.)使合法
legitimate,(adj.)合法的、合法婚姻所生的、合理的
leisure,(n.)閒暇、空暇時間
leisurely,(adj.)從容不迫的、悠閒的
leisurely,(adv.)從容不迫地、慢慢地
lemon,(n.)檸檬
lemonade,(n.)檸檬水
lend,(v.)出借
length,(n.)(距離、尺寸的)長度
lengthen,(v.)使加長、使延長
lengthy,(adj.)長的、冗長的、囉唆的
lens,(n.)透鏡、鏡片
leopard,(n.)豹、美洲豹
less,(adv.)較小地、較少地、不如
less,(adj.)較少的
less,(prep.)減去、扣除、差...
lessen,(v.)變小、變少、減輕
lesson,(n.)課、教訓
lest,(conj.)惟恐、免得、擔心
let,(v.)讓
letter,(n.)信、字母
lettuce,(n.)類似萵苣的生菜
level,(n.)水平線
level,(adj.)水平的、平的、筆直的
liable,(adj.)易...的、可能的、負有法律責任的
liar,(n.)說謊的人
liberal,(adj.)自由主義的
liberate,(v.)解放、使獲自由
liberation,(n.)解放、釋出
liberty,(n.)自由、自由權
librarian,(n.)圖書館員
library,(n.)圖書館
license,(v.)許可、准許、發許可證給
license,(n.)許可、特許
lick,(v.)舔
lick,(n.)舔、舐、少量
lid,(n.)蓋子
lie,(v.)說謊、躺
lie,(n.)謊言
lieutenant,(n.)中尉(或少尉)、助理官
life,(n.)人生、生命
lifeboat,(n.)救生艇
lifeguard,(n.)救生員
lifelong,(adj.)終身的、一輩子的
lifetime,(n.)一生、終身
lift,(v.)舉起
lift,(n.)提、吊、升、鼓舞
light,(n.)光線、燈
light,(adj.)輕的
light,(adv.)輕地、輕裝地
light,(v.)點(火)、點燃、照亮
lighten,(v.)使光明、照亮
lighthouse,(n.)燈塔
lightning,(n.)閃電
like,(n.)愛好
like,(prep.)像、如
like,(v.)喜歡
likelihood,(n.)可能、可能性
likely,(adv.)很可能
likely,(adj.)有可能的
likewise,(adv.)同樣地、也、又
lily,(n.)百合花
limb,(n.)肢、臂
lime,(v.)撒石灰於
lime,(n.)石灰、酸橙
limit,(v.)限定
limit,(n.)限度
limitation,(n.)極限、限度
limo,(n.)limousine
limousine,(n.)大轎車
limp,(n.)跛行
limp,(v.)跛行
line,(n.)線、隊伍
line,(v.)排隊
linen,(n.)亞麻布製品(如床單、桌巾、內衣等)
liner,(n.)班輪、眼線筆
linger,(v.)繼續逗留、持續、磨蹭
linguist,(n.)語言學者、通曉數種外語的人
link,(v.)聯繫
link,(n.)環節
lion,(n.)獅子
lip,(n.)嘴唇
lipstick,(n.)口紅
liquid,(n.)液體
liquid crystal display,(n.)液晶顯示 (= LCD)
liquor,(n.)酒、含酒精飲料
list,(v.)列成表
list,(n.)單子
listen,(v.)傾聽
listener,(n.)傾聽者
liter,(n.)公升
literacy,(n.)識字、讀寫能力
literal,(adj.)照字面的、原義的、如實的
literary,(adj.)文學的、文藝的
literate,(adj.)能讀寫的、有文化修養的
literate,(n.)能讀寫的人
literature,(n.)文學、文學作品
litter,(n.)廢棄物、零亂之物
litter,(v.)亂丟(雜物)
little,(adj.)很少的
little,(n.)沒有多少、短時間、短距離
little,(adv.)一點點
live,(v.)居住
live,(adj.)活的、有生命的、燃著的、實況播送的
lively,(adj.)精力充沛的、活潑的
liver,(n.)肝臟
livestock,(n.)(總稱)家畜
lizard,(n.)蜥蜴
load,(v.)裝、裝載
load,(n.)裝載、擔子、工作量
loaf,(n.)一條(麵包)
loan,(n.)貸款
loan,(v.)借出、貸與
lobby,(n.)大廳、門廊
lobster,(n.)龍蝦
local,(adj.)本地的
local,(n.)當地居民
locate,(v.)把...設置在、使...座落於
location,(n.)位置、場所
lock,(v.)鎖住
lock,(n.)鎖
locker,(n.)(公共場所的)衣物櫃
locomotive,(n.)火車頭
locomotive,(adj.)活動的、移動的、火車頭的
locust,(n.)蝗蟲
lodge,(v.)租房間給...住、申訴、暫住、投宿
lodge,(n.)木屋、小旅舍、守衛室
lofty,(adj.)高聳的、極高的、高傲的
log,(n.)原木、木料、工作記錄簿
log,(v.)伐(林木)、把...記入航海日誌
logic,(n.)邏輯、邏輯學
logical,(adj.)合邏輯的、合理的
logo,(n.)商標
lollipop,(n.)棒棒糖
lone,(adj.)孤單的、無伴的
lonely,(adj.)寂寞的
lonesome,(adj.)寂寞的、孤單的、荒涼的
long,(adj.)長的
long,(adv.)長久地、始終
long,(v.)長久地、始終、 渴望
longevity,(n.)長壽、壽命
longitude,(n.)經度
look,(n.)看、瞥、臉色、眼神、表情
look,(v.)看
loose,(adj.)鬆的
loosen,(v.)鬆開、解開
lord,(n.)(大寫)上帝、基督
lose,(v.)輸、失去
loser,(n.)輸家
loss,(n.)損失
lot,(n.)很多、多數、一批、一塊地
lotion,(n.)(化妝等用的)化妝水、塗劑
lottery,(n.)獎券、彩票、抽籤、運氣
lotus,(n.)蓮花
loud,(adj.)大聲的
loud,(adv.)大聲地、響亮地
loudspeaker,(n.)揚聲器、擴聲器、喇叭
lounge,(v.)(懶洋洋地)倚靠、閒蕩
lounge,(n.)(旅館等的)會客廳、候機室、躺椅
lousy,(adj.)不潔的、卑鄙的、討厭的
love,(n.)愛
love,(v.)愛好、喜歡
lovely,(adj.)動人的
lover,(n.)情人
low,(adv.)低、向下地、低聲地、低價地
low,(n.)低水平、低點、、低速
low,(adj.)低的、矮的
lower,(v.)放下、降下、放低、減低、減弱
loyal,(adj.)忠誠的、忠心的
loyalty,(n.)忠誠、忠心
luck,(n.)好運、幸運
lucky,(adj.)幸運的
luggage,(n.)行李
lullaby,(v.)唱搖籃曲使入睡
lullaby,(n.)催眠曲、搖籃曲
lumber,(n.)木材、木料
lumber,(v.)伐木、(英國)拖累
lump,(n.)團、塊、腫塊、小方塊
lump,(v.)弄成一團、歸併到一起
lunar,(adj.)月的、陰曆的
lunatic,(n.)瘋子、瘋傻的人
lunatic,(adj.)瘋的、瘋狂的
lunch,(n.)午餐
lunch,(v.)吃午餐
luncheon,(n.)午餐、(正式的)午餐會
lung,(n.)肺、肺臟
lure,(n.)誘惑物、魅力、誘餌
lure,(v.)誘惑、以誘餌吸引
lush,(adj.)蒼翠繁茂的、豐富的
luxurious,(adj.)奢侈的、驕奢淫逸的
luxury,(n.)奢侈品、奢華、享受、樂趣
lyric,(n.)抒情作品、歌詞
lyric,(adj.)抒情的、適於歌唱的
ma,(n.)媽
ma'am,(n.)女士
machine,(v.)用機器做
machine,(n.)機器
machinery,(n.)機器、機械
mad,(adj.)發火、發瘋、發狂的
madam,(n.)夫人、太太
magazine,(n.)雜誌
magic,(n.)魔術
magic,(adj.)不可思議的、有魔力的
magical,(adj.)魔術的、魔法的
magician,(n.)魔術師
magnet,(n.)磁鐵、磁石
magnetic,(adj.)磁鐵的、磁性的
magnificent,(adj.)壯麗的、宏偉的
magnify,(v.)放大、擴大、誇張
magnitude,(n.)巨大、重大、強度
maid,(n.)侍女、女僕
maiden,(adj.)未婚的、少女的、初次的
maiden,(n.)少女、處女
mail,(v.)寄信
mail,(n.)信件
main,(n.)總管道、主要部分、要點
main,(adj.)最主要的
mainland,(n.)大陸
mainstream,(n.)(河的)主流、主要傾向
maintain,(v.)維持、保養
maintenance,(n.)維持、維修、保養
majestic,(adj.)雄偉的、威嚴的、崇高的
majesty,(n.)雄偉、壯麗、(帝王的)威嚴
major,(n.)主修
major,(v.)主修
major,(adj.)較多的、主要的
majority,(n.)過半數、大多數
make,(v.)製造、 使得
makeup,(n.)構造、性格、化妝、補考、排版
malaria,(n.)瘧疾
male,(adj.)男性的
male,(n.)雄性動物
mall,(n.)大規模購物中心
mama,(n.)(兒語)媽媽
mamma,(n.)mama
mammal,(n.)哺乳動物
man,(n.)男人、 人類
man,(v.)給...配置人員
manage,(v.)管理、經營、處理
manageable,(adj.)可控制的
management,(n.)管理、經營、處理
manager,(n.)經理
mango,(n.)芒果
manifest,(adj.)顯然的、清楚的
manifest,(v.)表明、顯示
manipulate,(v.)操作、運用、操縱、對...做手腳
mankind,(n.)人類
manner,(n.)舉止、態度
manners,(n.)禮貌、規矩、風俗、習慣
mansion,(n.)大廈、大樓
manual,(adj.)用手操作的
manual,(n.)手冊
manufacture,(n.)製品、產品
manufacture,(v.)(大量)製造、加工
manufacturer,(n.)製造業者、廠商
manuscript,(n.)手稿、打字稿、原稿
many,(adj.)很多的
map,(v.)繪製...的地圖、詳細計劃
map,(n.)地圖
maple,(n.)槭樹、楓樹
mar,(v.)毀損、損傷、玷污
marathon,(n.)馬拉松賽跑
marble,(n.)大理石
march,(v.)行軍、把(人)強行帶走
margin,(n.)邊緣、利潤
marginal,(adj.)頁邊的、邊緣的、不重要的
marine,(adj.)海的、海生的、海軍陸戰隊的
marine,(n.)船舶、海運業、海軍陸戰隊隊員
mark,(n.)記號
mark,(v.)做記號
market,(n.)市場
market,(v.)(在市場上)銷售
marriage,(n.)結婚、婚姻
marry,(v.)結婚
marshal,(n.)元帥、高級將官、典禮官
martial,(adj.)戰爭的、軍事的、尚武的
marvel,(n.)令人驚奇的事物(或人物)
marvel,(v.)感到驚訝、感到好奇
marvelous,(adj.)了不起的
masculine,(adj.)男性的、男子氣概的
masculine,(n.)男性、陽性、陽性詞
mash,(v.)把...搗成糊狀、壓碎
mash,(n.)糊狀物、混合飼料
mask,(n.)面具
mask,(v.)在(臉上)戴面具、掩飾
mass,(n.)團、塊
massacre,(n.)大屠殺、慘敗
massacre,(v.)屠殺、使慘敗
massage,(n.)按摩(術)、推拿
massage,(v.)給...按摩(或推拿)
massive,(adj.)厚實的、粗大的、大量的
master,(n.)主人
master,(v.)精通
masterpiece,(n.)傑作、名作
mastery,(n.)支配、統治、精通、掌握
mat,(n.)蓆子、墊子
match,(v.)相配
match,(n.)比賽、競賽、對手、相配者、火柴
mate,(v.)使交配
mate,(n.)同伴、伙伴
material,(n.)材料、原料
materialism,(n.)唯物論、唯物主義
math,(n.)數學
mathematical,(adj.)數學的
mathematics,(n.)數學
matter,(v.)有關係、要緊
matter,(n.)事情
mattress,(n.)床墊
mature,(adj.)成熟的、到期的
maturity,(n.)成熟、完善、(支票等的)到期
maximum,(adj.)最大限度的
maximum,(n.)最高極限
may,(v.)可能
maybe,(adv.)可能、也許
mayonnaise,(n.)蛋黃醬、美乃滋
mayor,(n.)市長、鎮長
meadow,(n.)草地、牧草地
meal,(n.)餐
mean,(v.)意指
mean,(adj.)兇的、吝嗇的
meaning,(n.)意義
meaningful,(adj.)意味深長的、有意義的
means,(n.)手段、方法、工具、收入
meantime,(adv.)其間、同時
meantime,(n.)其時、其間
meanwhile,(n.)其時、其間
meanwhile,(adv.)其間、同時
measurable,(adj.)可測量的、可預見的
measure,(n.)尺寸
measure,(v.)計量
measurement,(n.)測量法、測定、尺寸
meat,(n.)肉類
mechanic,(n.)技工
mechanical,(adj.)機械的
mechanics,(n.)力學、機械學、技術、技巧
mechanism,(n.)機械裝置、機械作用、結構
medal,(n.)獎章、紀念章、勳章
media,(n.)媒介物、新聞媒介
mediate,(v.)調停解決、傳達
medical,(adj.)醫學的、醫術的、醫療的
medication,(n.)藥物治療、藥物
medicine,(n.)藥
medieval,(adj.)中世紀的、中古風的、守舊的
meditate,(v.)沈思、深思熟慮
meditation,(n.)沈思、默想、冥想
medium,(n.)中間、中庸、媒體、工具、傳播媒介
meet,(v.)遇見
meet,(n.)集會、競賽大會
meeting,(n.)集會
melancholy,(adj.)憂鬱的、令人沮喪的
melancholy,(n.)憂鬱、愁思
mellow,(adj.)(水果)成熟的、(人)圓熟的
mellow,(v.)使成熟、使圓熟
melody,(n.)旋律、主調
melon,(n.)瓜、甜瓜
melt,(v.)融化、熔化
member,(n.)會員
membership,(n.)會員身分
memorable,(adj.)值得懷念的、難忘的
memorial,(adj.)追悼的、記憶的
memorial,(n.)紀念碑
memorize,(v.)記住、背熟
memory,(n.)記憶
menace,(n.)恐嚇、具有危害性的人(或物)
menace,(v.)威脅、恐嚇
mend,(v.)修理、修補
mental,(adj.)精神的、心理的
mentality,(n.)智力、精神性、心理狀態
mention,(n.)提及、說起
mention,(v.)提到、說起
menu,(n.)菜單
merchandise,(v.)買賣、經營
merchandise,(n.)商品、貨物
merchant,(n.)商人
mercy,(n.)慈悲、憐憫、仁慈
mere,(adj.)僅僅的、只不過的
merge,(v.)合併、融合
merit,(n.)長處、優點、法律依據
mermaid,(n.)美人魚
merry,(adj.)愉快的、興高采烈的
mess,(n.)混亂、凌亂的狀態
mess,(v.)弄髒、弄亂
message,(n.)消息、音信
messenger,(n.)送信人
messy,(adj.)混亂的
metal,(n.)金屬
metaphor,(n.)隱喻、象徵
meter,(n.)公尺、計量器
method,(n.)方法
metro,(n.)地下鐵道
metropolitan,(adj.)大都市的
metropolitan,(n.)大城市人
microphone,(n.)麥克風
microscope,(n.)顯微鏡
microwave,(n.)微波爐
microwave,(v.)用微波爐烹調
middle,(n.)中央
middle,(v.)放在中間、對摺
middle,(adj.)中間的
midst,(prep.)在...之中
midst,(n.)當中、中間
might,(n.)力量、威力
mighty,(adj.)強大的、強有力的
migrant,(n.)移民、候鳥
migrant,(adj.)移居(尤指移出國境)的、流浪的
migrate,(v.)移居、定期移棲、回游
migration,(n.)遷移、遷徙、移民群
mike,(n.)擴音器、麥克風
mild,(adj.)溫和的、溫柔的
mile,(n.)英哩
mileage,(n.)總英里數、(每單位燃料的)行駛哩數
milestone,(n.)里程碑、劃時代的事件
militant,(n.)好鬥者、激進分子
militant,(adj.)好戰的、激進的
military,(n.)軍隊
military,(adj.)軍事的
milk,(n.)牛奶
milk,(v.)擠(奶)、榨取、偷聽電訊
mill,(v.)碾碎
mill,(n.)磨坊、銑床、銑刀
miller,(n.)磨坊主、碾磨工
million,(n.)百萬
millionaire,(n.)百萬富翁
mimic,(n.)善於模仿的人、滑稽劇演員
mimic,(v.)模仿、與...極相似
mind,(n.)心智
mind,(v.)介意
mine,(n.)我的東西、礦、源泉、地雷、坑道
mine,(v.)開礦、佈雷、破壞
miner,(n.)礦工
mineral,(n.)礦物
mingle,(v.)使混合、使相混、交往
miniature,(n.)縮樣、縮圖、小型物
miniature,(adj.)小型的、小規模的
miniature,(v.)是...的縮影
minimal,(adj.)最小的、極微的
minimize,(v.)使減到最少(或最小)、低估
minimum,(adj.)最小的、最少的
minimum,(n.)最小數、最低限度
minister,(n.)部長、大臣
ministry,(n.)(常大寫)(政府的)部
minor,(n.)未成年者、副科
minor,(adj.)較小的、較次要的
minority,(n.)少數、少數民族、未成年
mint,(n.)薄荷、薄荷糖、造幣廠
minus,(prep.)減（去）
minus,(n.)負號
minus,(adj.)負的、減去的
minute,(n.)分鐘
miracle,(n.)奇蹟
miraculous,(adj.)神奇的、奇蹟般的
mirror,(n.)鏡子
mirror,(v.)反映、反射
mischief,(n.)頑皮、淘氣
mischievous,(adj.)惡作劇的、淘氣的
miser,(n.)吝嗇鬼、守財奴
miserable,(adj.)悽慘的、悲哀的
misery,(n.)痛苦、不幸、悲慘、窮困
misfortune,(n.)不幸、惡運
mislead,(v.)把...帶錯方向、把...引入歧途
miss,(n.)少女
miss,(v.)想念、惦記、未達到
missile,(n.)飛彈、導彈
missing,(adj.)缺掉的、失蹤的、找不到的
mission,(n.)使節團、使命、任務
missionary,(adj.)傳教的、教會的、傳教士的
missionary,(n.)傳教士、鼓吹者、(外交)使節
mist,(v.)使蒙上薄霧
mist,(n.)薄霧、噴霧
mistake,(n.)錯誤
mistake,(v.)弄錯、誤解、弄錯、搞錯
mister,(n.)先生
mistress,(n.)女主人、主婦
misunderstand,(v.)誤會、曲解
mix,(n.)混和、攪和、結合
mix,(v.)混合
mixture,(n.)混合、混和
moan,(n.)呻吟聲、嗚咽聲、悲歎
moan,(v.)呻吟、嗚咽、悲歎
mob,(n.)暴民、烏合之眾
mob,(v.)成群襲擊、圍攻
mobile,(adj.)移動式的、流動的
mobilize,(v.)動員、調動
mock,(n.)嘲弄、笑柄、仿製品、模擬考
mock,(v.)嘲弄、(為取笑而)模仿
